-1.0000000000,0.000000e+00,0.000000e+00,0.000000e+00,5.223056e-07,1.282713e-15,1.473798e-14,-5.334543e-34
-0.9999619000,3.050322e-02,1.766637e-03,4.413230e-02,1.557442e-02,1.515627e-05,1.247914e-02,-7.539886e-08
-0.9998477000,1.219328e-01,7.066145e-03,1.765192e-01,6.226754e-02,2.390440e-04,4.943970e-02,-4.834755e-06
-0.9996573000,2.743689e-01,1.589709e-02,3.971248e-01,1.400073e-01,1.181978e-03,1.094943e-01,-5.524693e-05
-0.9993908000,4.877313e-01,2.825645e-02,7.058734e-01,2.487053e-01,3.615584e-03,1.904495e-01,-3.116245e-04
-0.9990482000,7.620201e-01,4.413620e-02,1.102565e+00,3.882269e-01,8.467854e-03,2.894630e-01,-1.192804e-03
-0.9986295000,1.097235e+00,6.351650e-02,1.586704e+00,5.582027e-01,1.670118e-02,4.032228e-01,-3.564322e-03
-0.9981348000,1.493297e+00,8.635028e-02,2.157114e+00,7.575831e-01,2.919211e-02,5.281378e-01,-8.941985e-03
-0.9975641000,1.950205e+00,1.125388e-01,2.811328e+00,9.839100e-01,4.663091e-02,6.605322e-01,-1.962842e-02
-0.9969173000,2.468039e+00,1.418969e-01,3.544722e+00,1.232468e+00,6.945356e-02,7.968375e-01,-3.865101e-02
-0.9961947000,3.046559e+00,1.741141e-01,4.349539e+00,1.495718e+00,9.781252e-02,9.337660e-01,-6.937695e-02
-0.9953962000,3.685846e+00,2.087227e-01,5.214095e+00,1.763488e+00,1.315846e-01,1.068443e+00,-1.147975e-01
-0.9945219000,4.385819e+00,2.450899e-01,6.122583e+00,2.024116e+00,1.704091e-01,1.198477e+00,-1.766694e-01
-0.9935719000,5.146398e+00,2.824424e-01,7.055685e+00,2.266234e+00,2.137450e-01,1.321973e+00,-2.548420e-01
-0.9925461000,5.967663e+00,3.199263e-01,7.992069e+00,2.480538e+00,2.609345e-01,1.437496e+00,-3.470644e-01